TimeSeriesResponse{metaData=MetaData{information=Intraday (5min) open, high, low, close prices and volumesymbol=IBMlastRefreshed=2023-11-17 19:55:00timeZone=US/Easterninterval=5minoutputSize=Compact}, stockUnits=[
StockUnit{open=152.89, high=153.089, low=152.89, close=153.089, adjustedClose=0.0, volume=1383, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 16:15:00}, 
StockUnit{open=152.89, high=152.92, low=152.89, close=152.92, adjustedClose=0.0, volume=1217334, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 16:10:00}, 
StockUnit{open=153.09, high=153.09, low=152.89, close=152.89, adjustedClose=0.0, volume=1529, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 16:05:00}, 
StockUnit{open=152.9, high=152.93, low=152.89, close=152.93, adjustedClose=0.0, volume=2520261, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 16:00:00}, 
StockUnit{open=153.045, high=153.14, low=152.89, close=152.91, adjustedClose=0.0, volume=324200, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 15:55:00}, 
StockUnit{open=153.02, high=153.08, low=152.94, close=153.05, adjustedClose=0.0, volume=107891, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 15:50:00}, 
StockUnit{open=153.03, high=153.09, low=153.0, close=153.04, adjustedClose=0.0, volume=63038, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 15:45:00}, 
StockUnit{open=153.0, high=153.065, low=152.96, close=153.04, adjustedClose=0.0, volume=50747, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 15:40:00}, 
StockUnit{open=153.05, high=153.1, low=152.96, close=153.01, adjustedClose=0.0, volume=47922, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 15:35:00}, 
StockUnit{open=153.22, high=153.23, low=152.97, close=153.06, adjustedClose=0.0, volume=51267, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 15:30:00}, 
StockUnit{open=153.08, high=153.23, low=153.07, close=153.21, adjustedClose=0.0, volume=34143, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 15:25:00}, 
StockUnit{open=153.11, high=153.124, low=153.07, close=153.1, adjustedClose=0.0, volume=22416, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 15:20:00}, 
StockUnit{open=153.05, high=153.135, low=153.0, close=153.11, adjustedClose=0.0, volume=26315, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 15:15:00}, 
StockUnit{open=153.04, high=153.07, low=152.96, close=153.05, adjustedClose=0.0, volume=40533, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 15:10:00}, 
StockUnit{open=153.073, high=153.14, low=153.04, close=153.051, adjustedClose=0.0, volume=21391, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 15:05:00}, 
